암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,좌표(X),좌표(Y)
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQ1IyQ5MiQzNjE4MzIjNzEjJDEjJDgjJDgz,수병원,21,병원,310000,경기,310603,수원팔달구,,16249,경기도 수원시 팔달구 경수대로 613 (지동),http://www.soo365.co.kr,2015-01-13,9,1,0,0,8,0,0,0,0,0,0,0,0,127.0298682,37.2803205
JDQ4MTYyMiM2MSMkMSMkNiMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,수병원,21,병원,350000,전북,350401,전주완산구,,54965,전라북도 전주시 완산구 서원로 63 (효자동2가),http://www.soo119.co.kr/,2007-03-30,12,0,0,0,12,0,0,0,0,0,0,0,0,127.1014523,35.8140121
JDQ4MTYyMiM2MSMkMSMkNiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ2MiQyNjE0ODEjODEjJDEjJDIjJDgz,수사랑병원,21,병원,350000,전북,350300,익산시,,54658,전라북도 익산시 배산로 69-0  (모현동1가),,2020-03-10,5,0,0,0,5,0,0,0,0,0,0,0,0,126.9379269,35.9440232
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQxMyQyNjEyMjIjNjEjJDEjJDAjJDgz,수성아동병원,21,병원,230000,대구,230005,대구수성구,,42132,대구광역시 수성구 명덕로 424 (수성동2가),,2013-05-16,4,0,0,0,4,0,0,0,0,0,0,0,0,128.6163607,35.8540407
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ2MiQyNjEwMDIjNTEjJDEjJDYjJDgz,수성한미병원,21,병원,230000,대구,230005,대구수성구,,42115,"대구광역시 수성구 달구벌대로 2348 지하1,지상4~6층 (수성동3가, 수협G 타워)",http://hanmihospital.com/,2010-02-24,4,1,0,0,3,0,0,0,0,0,0,0,0,128.6193782,35.8591401
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQyIyQ1IyQwMCQ0NjE0ODEjNjEjJDEjJDgjJDgz,수앤수병원,21,병원,310000,경기,312500,화성시,,18611,"경기도 화성시 향남읍 상신하길로298번길 7-27 3-6(5,6일부)층",,2016-09-01,3,0,0,0,3,0,0,0,0,0,0,0,0,126.9127298,37.1146439
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQyNjEyMjIjNzEjJDEjJDgjJDgz,수여성병원,21,병원,310000,경기,310601,수원권선구,,16625,경기도 수원시 권선구 서부로 1592 (고색동),http://www.soowomenshospital.com/,2009-01-19,6,0,0,0,5,0,0,0,1,0,0,0,0,126.9762125,37.251247
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQxMyQyNjEwMDIjNDEjJDEjJDgjJDgz,수영어린이병원,21,병원,210000,부산,210014,부산수영구,,48243,부산광역시 수영구 수영로 671 2층~3층 (광안동),,2016-09-13,3,0,0,0,3,0,0,0,0,0,0,0,0,129.1144799,35.1657592
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQyIyQ5IyQwMCQyNjEyMjIjNTEjJDEjJDYjJDgz,수완센트럴병원,21,병원,240000,광주,240004,광주광산구,,62305,"광주광역시 광산구 수완로 6 A동1,3,5,6층/B동동 (신가동)",,2015-10-14,18,0,0,0,18,0,0,0,0,0,0,0,0,126.82926,35.1854818
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ4MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,수원우노병원,21,병원,310000,경기,310601,수원권선구,,16565,경기도 수원시 권선구 장다리로 94 (권선동),http://www.unohosp.co.kr/,2011-11-14,2,0,0,0,2,0,0,0,0,0,0,0,0,127.0216256,37.2585415
